_id,name,salary,url
94592651,Преподаватель математики / программирования,40 000 - 50 000 Руб,https://hh.ru/vacancy/94592651?utm_medium=cpc_hh&utm_source=clickmehhru&utm_campaign=451407&utm_local_campaign=801990&utm_content=485189&utm_vacancy=94592651
96016267,Преподаватель Python (online), Не указано,https://hh.ru/vacancy/96016267?query=Python&hhtmFrom=vacancy_search_list
89844879,"Инженер по автоматизации тестирования (Python, Склад, Отдел тестирования)", Не указано,https://hh.ru/vacancy/89844879?query=Python&hhtmFrom=vacancy_search_list
95917003,DevOps,50 000 - 100 000 Руб,https://hh.ru/vacancy/95917003?utm_medium=cpc_hh&utm_source=clickmehhru&utm_campaign=475078&utm_local_campaign=829930&utm_content=509284&utm_vacancy=95917003
96058201,Senior / techlead Python (Залоговая экспертиза), Не указано,https://hh.ru/vacancy/96058201?query=Python&hhtmFrom=vacancy_search_list
94268774,Разработчик Python/Spark, Не указано,https://hh.ru/vacancy/94268774?query=Python&hhtmFrom=vacancy_search_list
96019400,Senior Python Developer, Не указано,https://hh.ru/vacancy/96019400?query=Python&hhtmFrom=vacancy_search_list
96006707,Python junior,100 000 Руб,https://hh.ru/vacancy/96006707?query=Python&hhtmFrom=vacancy_search_list
96004791,Преподаватель Python, Не указано,https://hh.ru/vacancy/96004791?query=Python&hhtmFrom=vacancy_search_list
93819092,Программист Python, Не указано,https://hh.ru/vacancy/93819092?query=Python&hhtmFrom=vacancy_search_list
95463297,Automation QA Engineer (Python)/Sdet,300 000 Руб,https://hh.ru/vacancy/95463297?query=Python&hhtmFrom=vacancy_search_list
96081373,Разработчик Python (ALD Pro), Не указано,https://hh.ru/vacancy/96081373?query=Python&hhtmFrom=vacancy_search_list
93277102,Python Backend Developer (Middle),140 000 Руб,https://hh.ru/vacancy/93277102?query=Python&hhtmFrom=vacancy_search_list
95222436,Разработчик Python, Не указано,https://hh.ru/vacancy/95222436?query=Python&hhtmFrom=vacancy_search_list
95223899,Teamlead Python, Не указано,https://hh.ru/vacancy/95223899?query=Python&hhtmFrom=vacancy_search_list
92475707,Разработчик бэкенда на Python и Go в Вертикали, Не указано,https://hh.ru/vacancy/92475707?query=Python&hhtmFrom=vacancy_search_list
95948695,Ведущий программист (Python), Не указано,https://hh.ru/vacancy/95948695?query=Python&hhtmFrom=vacancy_search_list
94280574,Python developer, Не указано,https://hh.ru/vacancy/94280574?query=Python&hhtmFrom=vacancy_search_list
94364770,Middle Python Developer (remote), Не указано,https://hh.ru/vacancy/94364770?query=Python&hhtmFrom=vacancy_search_list
89424972,"Менеджер по обработке данных (SPSS, R, Python)", Не указано,https://hh.ru/vacancy/89424972?query=Python&hhtmFrom=vacancy_search_list
94458095,Начальник отдела риск-технологий / Team Lead Python, Не указано,https://hh.ru/vacancy/94458095?query=Python&hhtmFrom=vacancy_search_list
94281669,Backend Python,120 000 - 180 000 Руб,https://hh.ru/vacancy/94281669?query=Python&hhtmFrom=vacancy_search_list
91240989,Python Developer, Не указано,https://hh.ru/vacancy/91240989?query=Python&hhtmFrom=vacancy_search_list
94059277,Python-разработчик,150 000 Руб,https://hh.ru/vacancy/94059277?query=Python&hhtmFrom=vacancy_search_list
95901718,Python-разработчик, Не указано,https://hh.ru/vacancy/95901718?query=Python&hhtmFrom=vacancy_search_list
94995527,"Frontend / Full-stack Developer в Мету (Vue, Python)",150 000 Руб,https://hh.ru/vacancy/94995527?query=Python&hhtmFrom=vacancy_search_list
94296404,Программист Python (Team Lead), Не указано,https://hh.ru/vacancy/94296404?query=Python&hhtmFrom=vacancy_search_list
94688779,Эксперт по направлению ИТ-аудит, Не указано,https://hh.ru/vacancy/94688779?utm_medium=cpc_hh&utm_source=clickmehhru&utm_campaign=472319&utm_local_campaign=826704&utm_content=506482&utm_vacancy=94688779
96020947,Python-разработчик в Учебник, Не указано,https://hh.ru/vacancy/96020947?query=Python&hhtmFrom=vacancy_search_list
96020946,Python-разработчик в Учебник, Не указано,https://hh.ru/vacancy/96020946?query=Python&hhtmFrom=vacancy_search_list
94673802,Преподаватель по программированию,40 000 Руб,https://hh.ru/vacancy/94673802?utm_medium=cpc_hh&utm_source=clickmehhru&utm_campaign=453299&utm_local_campaign=804295&utm_content=487105&utm_vacancy=94673802
96020945,Python-разработчик в Учебник, Не указано,https://hh.ru/vacancy/96020945?query=Python&hhtmFrom=vacancy_search_list
94543134,Python Developer, Не указано,https://hh.ru/vacancy/94543134?query=Python&hhtmFrom=vacancy_search_list
93161130,Python Programmer, Не указано,https://hh.ru/vacancy/93161130?query=Python&hhtmFrom=vacancy_search_list
95734951,Ведущий Senior разработчик Django/Openresty с навыками DevOps инженерии,300 000 - 400 000 Руб,https://hh.ru/vacancy/95734951?utm_medium=cpc_hh&utm_source=clickmehhru&utm_campaign=472527&utm_local_campaign=826936&utm_content=506693&utm_vacancy=95734951
94856537,Python Data Scientist (удаленно),250 000 Руб,https://hh.ru/vacancy/94856537?query=Python&hhtmFrom=vacancy_search_list
92284826,"Преподаватель дисциплин C# , Angular + React, PHP", Не указано,https://hh.ru/vacancy/92284826?utm_medium=cpc_hh&utm_source=clickmehhru&utm_campaign=439423&utm_local_campaign=788120&utm_content=473012&utm_vacancy=92284826
94847823,Python-разработчик, Не указано,https://hh.ru/vacancy/94847823?query=Python&hhtmFrom=vacancy_search_list
94623534,Python-разработчик,120 000 - 150 000 Руб,https://hh.ru/vacancy/94623534?query=Python&hhtmFrom=vacancy_search_list
95917551,Senior Python/Go-разработчик, Не указано,https://hh.ru/vacancy/95917551?query=Python&hhtmFrom=vacancy_search_list
96020653,Разработчик на Python в Фемиду, Не указано,https://hh.ru/vacancy/96020653?query=Python&hhtmFrom=vacancy_search_list
96020652,Разработчик на Python в Фемиду, Не указано,https://hh.ru/vacancy/96020652?query=Python&hhtmFrom=vacancy_search_list
96020651,Разработчик на Python в Фемиду, Не указано,https://hh.ru/vacancy/96020651?query=Python&hhtmFrom=vacancy_search_list
95976386,Python/Go инженер-разработчик, Не указано,https://hh.ru/vacancy/95976386?query=Python&hhtmFrom=vacancy_search_list
95979257,"TeamLead (Python, C/C++)", Не указано,https://hh.ru/vacancy/95979257?query=Python&hhtmFrom=vacancy_search_list
94940292,Backend-разработчик / Python developer,100 000 - 220 000 Руб,https://hh.ru/vacancy/94940292?query=Python&hhtmFrom=vacancy_search_list
96007928,ML Python Developer (Разработчик Python в области машинного обучения),200 000 Руб,https://hh.ru/vacancy/96007928?query=Python&hhtmFrom=vacancy_search_list
94268155,Разработчик Python (Support),70 000 Руб,https://hh.ru/vacancy/94268155?query=Python&hhtmFrom=vacancy_search_list
92545394,Python-разработчик (middle), Не указано,https://hh.ru/vacancy/92545394?query=Python&hhtmFrom=vacancy_search_list
95792193,Python-разработчик (middle+), Не указано,https://hh.ru/vacancy/95792193?query=Python&hhtmFrom=vacancy_search_list
94525478,Middle backend Python, Не указано,https://hh.ru/vacancy/94525478?query=Python&hhtmFrom=vacancy_search_list
84888866,Python разработчик (удалённо),200 000 - 280 000 Руб,https://hh.ru/vacancy/84888866?query=Python&hhtmFrom=vacancy_search_list
95129566,Python Backend Developer, Не указано,https://hh.ru/vacancy/95129566?query=Python&hhtmFrom=vacancy_search_list
89204697,Python Web Developer, Не указано,https://hh.ru/vacancy/89204697?query=Python&hhtmFrom=vacancy_search_list
85185502,Senior Python Developer, Не указано,https://hh.ru/vacancy/85185502?query=Python&hhtmFrom=vacancy_search_list
95894724,Разработчик Python (senior), Не указано,https://hh.ru/vacancy/95894724?query=Python&hhtmFrom=vacancy_search_list
93847021,Middle QA Engineer Fullstack (Python), Не указано,https://hh.ru/vacancy/93847021?query=Python&hhtmFrom=vacancy_search_list
91298067,Middle QA Engineer Fullstack (Python), Не указано,https://hh.ru/vacancy/91298067?query=Python&hhtmFrom=vacancy_search_list
95986306,Middle QA Engineer Fullstack (Python), Не указано,https://hh.ru/vacancy/95986306?query=Python&hhtmFrom=vacancy_search_list
95986305,Middle QA Engineer Fullstack (Python), Не указано,https://hh.ru/vacancy/95986305?query=Python&hhtmFrom=vacancy_search_list
90824253,Администратор OpenSource, Не указано,https://hh.ru/vacancy/90824253?utm_medium=cpc_hh&utm_source=clickmehhru&utm_campaign=468729&utm_local_campaign=822519&utm_content=502843&utm_vacancy=90824253
95554193,Разработчик Python (Middle), Не указано,https://hh.ru/vacancy/95554193?query=Python&hhtmFrom=vacancy_search_list
94337273,"Администратор БД (Python, MS-SQL)", Не указано,https://hh.ru/vacancy/94337273?query=Python&hhtmFrom=vacancy_search_list
94619585,"Руководитель направления аудитов, Департамент по информационной безопасности", Не указано,https://hh.ru/vacancy/94619585?utm_medium=cpc_hh&utm_source=clickmehhru&utm_campaign=476706&utm_local_campaign=831770&utm_content=510931&utm_vacancy=94619585
94376994,"QA Automation Engineer (Selenium, Python)/Инженер по автоматизации тестирования", Не указано,https://hh.ru/vacancy/94376994?query=Python&hhtmFrom=vacancy_search_list
95564704,Fullstack Python Developer, Не указано,https://hh.ru/vacancy/95564704?query=Python&hhtmFrom=vacancy_search_list
95914428,Автотестировщик на Python, Не указано,https://hh.ru/vacancy/95914428?query=Python&hhtmFrom=vacancy_search_list
95982677,QA Automation Engineer (Python), Не указано,https://hh.ru/vacancy/95982677?query=Python&hhtmFrom=vacancy_search_list
94824350,Python developer (Data platform), Не указано,https://hh.ru/vacancy/94824350?query=Python&hhtmFrom=vacancy_search_list
95202277,Middle Backend программист Python / Middle Python Backend Developer,250 000 Руб,https://hh.ru/vacancy/95202277?query=Python&hhtmFrom=vacancy_search_list
93623441,Python-разработчик (middle/ senior), Не указано,https://hh.ru/vacancy/93623441?query=Python&hhtmFrom=vacancy_search_list
95303713,Python developer, Не указано,https://hh.ru/vacancy/95303713?query=Python&hhtmFrom=vacancy_search_list
95625068,Team Lead Developer (Python),200 000 - 250 000 Руб,https://hh.ru/vacancy/95625068?query=Python&hhtmFrom=vacancy_search_list
96095321,Старший Python-разработчик в веб-платформу Летних школ Яндекса, Не указано,https://hh.ru/vacancy/96095321?query=Python&hhtmFrom=vacancy_search_list
96095320,Старший Python-разработчик в веб-платформу Летних школ Яндекса, Не указано,https://hh.ru/vacancy/96095320?query=Python&hhtmFrom=vacancy_search_list
95574937,Продакт Разработчик Python AI (Удаленно),1 700 - 2 400 Доллар,https://hh.ru/vacancy/95574937?query=Python&hhtmFrom=vacancy_search_list
95574935,Продакт Разработчик Python AI (удаленно),1 700 - 2 400 Доллар,https://hh.ru/vacancy/95574935?query=Python&hhtmFrom=vacancy_search_list
87786260,Middle+ Python developer (Serverless), Не указано,https://hh.ru/vacancy/87786260?query=Python&hhtmFrom=vacancy_search_list
95611811,Старший разработчик (Python/Remote), Не указано,https://hh.ru/vacancy/95611811?query=Python&hhtmFrom=vacancy_search_list
93218101,Middle Python/Go разработчик,100 000 - 150 000 Руб,https://hh.ru/vacancy/93218101?query=Python&hhtmFrom=vacancy_search_list
92948540,Middle/Senior Python Developer, Не указано,https://hh.ru/vacancy/92948540?query=Python&hhtmFrom=vacancy_search_list
95622132,"Java + Python Продакт Разработчик, Биржа (Удаленно)",3 000 - 4 000 Доллар,https://hh.ru/vacancy/95622132?query=Python&hhtmFrom=vacancy_search_list
94539828,Python разработчик ИИ (NLP),130 000 Руб,https://hh.ru/vacancy/94539828?query=Python&hhtmFrom=vacancy_search_list
94772791,Старший разработчик на Python, Не указано,https://hh.ru/vacancy/94772791?query=Python&hhtmFrom=vacancy_search_list
94542214,"Blockchain Developer (Python, Solidity)",4 000 - 6 000 Доллар,https://hh.ru/vacancy/94542214?query=Python&hhtmFrom=vacancy_search_list
94313224,QA Automation Engineer Python (Проект импортозамещения), Не указано,https://hh.ru/vacancy/94313224?query=Python&hhtmFrom=vacancy_search_list
95142922,Python Developer (Middle/Senior),2 000 - 4 000 Доллар,https://hh.ru/vacancy/95142922?query=Python&hhtmFrom=vacancy_search_list
95142921,Python Developer (Middle/Senior),2 000 - 4 000 Доллар,https://hh.ru/vacancy/95142921?query=Python&hhtmFrom=vacancy_search_list
94400641,"Преподаватель на курс ""Автоматизация тестирования на Python""",40 000 Руб,https://hh.ru/vacancy/94400641?query=Python&hhtmFrom=vacancy_search_list
95596109,Backend-разработчик Golang/Python (BI-платформа), Не указано,https://hh.ru/vacancy/95596109?query=Python&hhtmFrom=vacancy_search_list
94933129,Senior full stack developer (react.js/python), Не указано,https://hh.ru/vacancy/94933129?query=Python&hhtmFrom=vacancy_search_list
95468665,Automation QA Engineer Python, Не указано,https://hh.ru/vacancy/95468665?query=Python&hhtmFrom=vacancy_search_list
95322521,Data Science Project,30 000 Руб,https://hh.ru/vacancy/95322521?utm_medium=cpc_hh&utm_source=clickmehhru&utm_campaign=477554&utm_local_campaign=832815&utm_content=511794&utm_vacancy=95322521
94553661,Middle+ Backend Developer (Python),150 000 - 180 000 Руб,https://hh.ru/vacancy/94553661?query=Python&hhtmFrom=vacancy_search_list
96012131,Специалист по Machine Learning / Data Science (python),80 000 Руб,https://hh.ru/vacancy/96012131?query=Python&hhtmFrom=vacancy_search_list
92653394,Middle Backend программист Python / Middle Python Backend Developer,100 000 - 200 000 Руб,https://hh.ru/vacancy/92653394?query=Python&hhtmFrom=vacancy_search_list
94568698,Преподаватель робототехники и программирования,30 000 - 70 000 Руб,https://hh.ru/vacancy/94568698?utm_medium=cpc_hh&utm_source=clickmehhru&utm_campaign=456268&utm_local_campaign=807737&utm_content=490137&utm_vacancy=94568698
96095651,Старший Python-разработчик в веб-платформу Летних школ Яндекса, Не указано,https://hh.ru/vacancy/96095651?query=Python&hhtmFrom=vacancy_search_list
94831101,"Преподаватель Python, C# (Unity)",130 000 Руб,https://hh.ru/vacancy/94831101?query=Python&hhtmFrom=vacancy_search_list
91328197,Ведущий тестировщик ПО (разработка фреймворка и автоматизация сценариев тестирования на Python),300 000 - 350 000 Руб,https://hh.ru/vacancy/91328197?query=Python&hhtmFrom=vacancy_search_list
95944863,Python Developer в команду разработки протокола хранения данных,60 000 - 145 000 Руб,https://hh.ru/vacancy/95944863?query=Python&hhtmFrom=vacancy_search_list
88200504,Python Team Lead / Руководитель backend разработки, Не указано,https://hh.ru/vacancy/88200504?query=Python&hhtmFrom=vacancy_search_list
95869592,Middle / Senior Python/Go developer,80 000 - 200 000 Руб,https://hh.ru/vacancy/95869592?query=Python&hhtmFrom=vacancy_search_list
89820718,AI Apps Developer/JavaScript/Python, Не указано,https://hh.ru/vacancy/89820718?query=Python&hhtmFrom=vacancy_search_list
76592161,Программист-разработчик Python (электроприводная техника), Не указано,https://hh.ru/vacancy/76592161?query=Python&hhtmFrom=vacancy_search_list
95921539,Разработчик на Python в Yandex Pay, Не указано,https://hh.ru/vacancy/95921539?query=Python&hhtmFrom=vacancy_search_list
95921538,Разработчик на Python в Yandex Pay, Не указано,https://hh.ru/vacancy/95921538?query=Python&hhtmFrom=vacancy_search_list
94267518,"Программист на Python (работа в офисе, м. Савеловская)", Не указано,https://hh.ru/vacancy/94267518?query=Python&hhtmFrom=vacancy_search_list
95701992,Разработчик Python, Не указано,https://hh.ru/vacancy/95701992?query=Python&hhtmFrom=vacancy_search_list
95882279,"Специалист по автоматизации тестирования (Python, Логистика, Претензионная работа)", Не указано,https://hh.ru/vacancy/95882279?query=Python&hhtmFrom=vacancy_search_list
95149384,Младший специалист отдела разработки (Python) / Специалист по парсингу данных,80 000 Руб,https://hh.ru/vacancy/95149384?query=Python&hhtmFrom=vacancy_search_list
95721356,Python разработчик,250 000 - 350 000 Не указано,https://hh.ru/vacancy/95721356?query=Python&hhtmFrom=vacancy_search_list
95728087,Python developer, Не указано,https://hh.ru/vacancy/95728087?query=Python&hhtmFrom=vacancy_search_list
86228469,"Старший специалист по автоматизации тестирования Python, Логистика, Платформенная интеграция", Не указано,https://hh.ru/vacancy/86228469?query=Python&hhtmFrom=vacancy_search_list
86228468,"Старший специалист по автоматизации тестирования Python, Логистика, Платформенная интеграция", Не указано,https://hh.ru/vacancy/86228468?query=Python&hhtmFrom=vacancy_search_list
