datetime,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1672754400000,16727.34000000,16766.52000000,16646.65000000,16663.49000000,3.55495400,1672757999999,59338.14279955,439,2.11321000,35274.56940216,0
1672758000000,16656.79000000,16682.13000000,16623.70000000,16669.25000000,4.64414300,1672761599999,77293.86730359,167,2.60556100,43382.71233646,0
1672761600000,16667.99000000,16679.98000000,16615.23000000,16618.62000000,0.64483600,1672765199999,10744.27166224,77,0.15581400,2594.51339724,0
1672765200000,16615.86000000,16634.06000000,16590.76000000,16590.76000000,1.94892500,1672768799999,32357.24943215,28,0.30801000,5121.26754564,0
1672768800000,16630.69000000,16641.76000000,16627.05000000,16637.32000000,0.20035900,1672772399999,3333.01499109,16,0.04823900,802.26991665,0
1672772400000,16641.00000000,16643.88000000,16618.95000000,16635.03000000,0.74797000,1672775999999,12441.92684884,64,0.30060600,5001.07553669,0
1672776000000,16641.29000000,16662.70000000,16641.29000000,16660.69000000,0.42175700,1672779599999,7024.01889017,66,0.31057700,5172.84327367,0
1672779600000,16660.47000000,16663.20000000,16653.19000000,16653.19000000,0.44570400,1672783199999,7425.62341327,52,0.17390300,2897.30732944,0
1672783200000,16657.50000000,16661.26000000,16648.68000000,16661.26000000,0.51023300,1672786799999,8498.98142804,59,0.36783300,6127.69811604,0
1672786800000,16664.89000000,16686.07000000,16658.92000000,16667.29000000,0.01410600,1672790399999,235.23638302,10,0.00483500,80.65168537,0
1672790400000,16670.52000000,16670.52000000,16661.78000000,16661.79000000,0.11921100,1672793999999,1986.30992182,10,0.11921100,1986.30992182,0
1672794000000,16659.31000000,16719.91000000,16657.56000000,16695.58000000,6.75650000,1672797599999,112669.00116942,109,1.34376600,22429.78951052,0
1672797600000,16708.09000000,16744.39000000,16705.81000000,16723.67000000,1.13494600,1672801199999,18988.15986391,98,0.94274000,15771.82427498,0
1672801200000,16738.29000000,16865.38000000,16732.67000000,16865.00000000,8.92460800,1672804799999,150036.42247815,483,6.57149800,110476.94620855,0
1672804800000,16865.00000000,16899.45000000,16847.53000000,16859.05000000,1.74176000,1672808399999,29380.21778597,94,1.25617200,21187.03462221,0
1672808400000,16860.51000000,16860.51000000,16831.90000000,16843.06000000,0.82626700,1672811999999,13921.33810860,114,0.29239900,4927.87033107,0
1672812000000,16858.43000000,16862.10000000,16854.73000000,16862.09000000,0.02694000,1672815599999,454.11682785,5,0.02194000,369.80636600,0
1672815600000,16877.41000000,16889.33000000,16848.76000000,16856.34000000,0.27582300,1672819199999,4649.57389939,76,0.00732100,123.58846049,0
1672819200000,16869.53000000,16902.97000000,16829.29000000,16859.00000000,2.63239900,1672822799999,44453.59302032,157,1.93308000,32661.32738920,0
1672822800000,16853.73000000,16854.93000000,16831.27000000,16836.23000000,0.69673500,1672826399999,11735.02084947,47,0.17112300,2881.00251599,0
1672826400000,16834.89000000,16841.71000000,16834.19000000,16841.71000000,0.06197000,1672829999999,1043.23432585,5,0.00250000,42.10421565,0
1672830000000,16842.23000000,16842.96000000,16833.61000000,16834.80000000,0.07844700,1672833599999,1320.98890605,18,0.04856100,817.89769429,0
1672833600000,16836.72000000,16841.67000000,16803.11000000,16804.52000000,0.53339900,1672837199999,8971.68397988,60,0.46625000,7842.40284880,0
1672837200000,16801.32000000,16827.37000000,16801.26000000,16827.37000000,0.06034800,1672840799999,1014.34201742,17,0.02312600,388.86678758,0
1672840800000,16817.78000000,16849.93000000,16800.00000000,16820.00000000,1.41512200,1672844399999,23783.80202211,68,0.21410200,3602.36748716,0
1672844400000,16817.11000000,16850.50000000,16767.79000000,16842.54000000,5.00711400,1672847999999,84134.61180120,227,2.10677500,35381.41169165,0
1672848000000,16842.71000000,16883.54000000,16833.32000000,16867.43000000,1.63860500,1672851599999,27620.93322438,144,0.29986200,5051.75561251,0
1672851600000,16847.99000000,16926.97000000,16847.97000000,16902.35000000,1.22684100,1672855199999,20732.06927711,77,0.39977700,6751.77131817,0
1672855200000,16884.23000000,16972.59000000,16879.58000000,16946.01000000,3.19417300,1672858799999,54103.57636966,139,2.00308000,33915.60766505,0
1672858800000,16948.98000000,16976.29000000,16786.93000000,16832.22000000,5.77374400,1672862399999,97334.73495839,311,2.65932900,44826.71821350,0
1672862400000,16838.43000000,16843.38000000,16782.86000000,16800.89000000,0.64451000,1672865999999,10826.90788261,81,0.45594100,7660.44069983,0
1672866000000,16791.15000000,16822.10000000,16791.15000000,16820.02000000,0.03287900,1672869599999,552.97926824,6,0.03139800,528.11157509,0
1672869600000,16816.13000000,16837.98000000,16816.13000000,16832.88000000,0.33825200,1672873199999,5691.85370514,39,0.18269200,3074.64427490,0
1672873200000,16821.75000000,16861.61000000,16817.59000000,16847.90000000,0.40003800,1672876799999,6742.36430850,46,0.34070800,5743.01097820,0
1672876800000,16849.16000000,16867.41000000,16827.84000000,16827.84000000,0.87841500,1672880399999,14793.53920648,30,0.81677500,13753.93910728,0
1672880400000,16827.46000000,16847.59000000,16810.68000000,16835.79000000,0.69481500,1672883999999,11696.80251083,60,0.39995500,6733.94906600,0
1672884000000,16826.19000000,16841.58000000,16819.82000000,16841.58000000,0.21174200,1672887599999,3562.20721088,64,0.00367800,61.92842384,0
1672887600000,16819.86000000,16820.67000000,16817.64000000,16817.64000000,0.04478200,1672891199999,753.20063780,10,0.00000000,0.00000000,0
1672891200000,16819.50000000,16841.92000000,16819.49000000,16841.92000000,0.47470200,1672894799999,7986.59502956,142,0.00970000,163.36568627,0
1672894800000,16841.87000000,16842.00000000,16841.87000000,16842.00000000,0.00645000,1672898399999,108.63080081,3,0.00645000,108.63080081,0
1672898400000,16842.00000000,16842.00000000,16842.00000000,16842.00000000,0.00000000,1672901999999,0.00000000,0,0.00000000,0.00000000,0
1672902000000,16817.31000000,16823.32000000,16786.47000000,16823.32000000,0.04782500,1672905599999,803.12804624,9,0.00822800,138.31462067,0
1672905600000,16816.16000000,16816.16000000,16816.16000000,16816.16000000,0.00414200,1672909199999,69.65253472,1,0.00414200,69.65253472,0
1672909200000,16798.00000000,16798.00000000,16779.92000000,16779.92000000,0.16716400,1672912799999,2806.47967929,6,0.14784300,2481.94698225,0
1672912800000,16809.56000000,16809.57000000,16809.56000000,16809.57000000,0.00119300,1672916399999,20.05380511,2,0.00119300,20.05380511,0
